77,Sobków Sp.k.,37-856,Mysłowice,aleja Olchowa,53/46
78,Golenia-Bochnak s.c.,04-713,Żagań,ul. Porzeczkowa,62/36
79,Pietraś i syn s.c.,95-175,Piastów,ulica Stawowa,61/37
80,Kandzia Sp. z o.o. Sp.k.,70-274,Wieluń,plac Głowackiego,23/57
81,Władyka Sp.j.,53-549,Mysłowice,aleja Widok,620
82,Kopyść s.c.,14-002,Siemianowice Śląskie,al. Okrzei,34
83,Kociemba S.A.,51-409,Sandomierz,ul. Kolonia,28/21
84,PPUH Krzysiek,42-121,Kołobrzeg,ulica Bociania,62/06
85,Fundacja Kondej S.A.,43-677,Augustów,ulica Rumiankowa,01/55
86,Ufniarz-Bajko Sp. z o.o.,26-130,Żyrardów,aleja Częstochowska,60
87,Grupa Gogol Sp. z o.o.,85-516,Knurów,al. Gajowa,30/59
88,Macha-Chmielak i syn s.c.,53-036,Kędzierzyn-Koźle,aleja Jana,67/17
89,Fundacja Nieroda,08-822,Września,aleja Bursztynowa,33/01
90,Fundacja Spadło Sp.j.,83-703,Siedlce,ul. Leśna,54/56
91,PPUH Orkisz,71-126,Sandomierz,plac Żwirowa,178
92,Leks Sp. z o.o.,69-066,Gdynia,plac Agrestowa,36
93,Fundacja Fijałek,40-328,Nowy Sącz,ulica Witosa,77
94,Grupa Sarniak-Hornik S.A.,07-529,Jaworzno,ulica Piekarska,31
95,Żuchowicz-Kuk Sp.j.,14-492,Bochnia,plac Długa,65/05
96,Spółdzielnia Czerniakiewicz Sp.j.,84-121,Stargard Szczeciński,al. Cyprysowa,297
97,Młynarz s.c.,99-414,Ostrołęka,ul. Dębowa,19/01
98,Garczyk-Dorawa Sp. z o.o.,37-168,Lublin,aleja Spółdzielcza,31
99,Mierzwiak Sp.k.,41-617,Zakopane,ulica Malczewskiego,56/26
100,Gabinety Rawa-Jędrak Sp. z o.o. Sp.k.,70-115,Dębica,plac Lubelska,44/27
101,Żmija-Moroń Sp.k.,25-503,Świętochłowice,ulica Leszczynowa,57
102,FPUH Siwczak-Taciak S.A.,86-311,Siedlce,al. Kopernika,86/62
103,Długajczyk S.A.,10-794,Katowice,ulica Powstańców,41/44
104,FPUH Rzeźniczek-Siemieniec Sp. z o.o.,51-085,Lubliniec,plac Sowia,279
105,Topa Sp.j.,25-086,Przemyśl,al. Leśna,83/02
106,Grupa Pielech-Korbut S.A.,69-258,Słupsk,ul. Chabrowa,45/53
107,Stowarzyszenie Cebulak,32-059,Nowa Ruda,ul. Powstańców,03/31
108,PPUH Lang,55-339,Białystok,ul. Diamentowa,336
109,Latoszek-Łasica Sp.j.,50-222,Siemianowice Śląskie,ulica Cegielniana,920
110,Podgórna Sp. z o.o. Sp.k.,75-744,Marki,al. Skrajna,037
111,Pawliczek-Osojca Sp. z o.o.,30-030,Olsztyn,aleja Chmielna,536
112,Grupa Fugiel Sp. z o.o. Sp.k.,72-303,Bochnia,plac Dojazdowa,286
113,PPUH Bąkiewicz i syn s.c.,95-289,Ostróda,plac Morcinka,30/02
114,Sztaba-Podpora s.c.,47-075,Żyrardów,ulica Kolorowa,25
115,Grupa Matus,14-776,Otwock,al. Wschodnia,93/30
116,FPUH Bejnarowicz,34-637,Wałcz,ulica Władysława,85
117,Stowarzyszenie Goss Sp. z o.o. Sp.k.,31-202,Knurów,plac Chopina,167
118,Walo-Bazyluk Sp. z o.o. Sp.k.,51-980,Opole,aleja Mazowiecka,67/08
119,PPUH Góraj,23-738,Legnica,aleja Słowianska,22/68
120,Gabinety Janke-Furgała i syn s.c.,85-947,Koszalin,ulica Skłodowskiej-Curie,314
121,Chlipała Sp.k.,23-886,Ostrowiec Świętokrzyski,ul. Broniewskiego,693
122,Starzak-Franas s.c.,32-368,Łódź,aleja Osiedlowa,102
123,Brachaczek-Palonek Sp. z o.o. Sp.k.,60-598,Gliwice,al. Ogrodowa,54/74
124,Gabinety Ziarno,96-610,Opole,plac Wypoczynkowa,99
125,Kenig-Ragan Sp. z o.o.,72-357,Legnica,ulica Podleśna,36
126,Stróż-Piwek i syn s.c.,07-248,Jarosław,al. Boczna,50/48
127,Szpala s.c.,34-770,Słupsk,aleja Paderewskiego,08
128,Chaberek Sp. z o.o.,86-859,Bełchatów,ulica Błękitna,433
129,Czosnyka Sp. z o.o. Sp.k.,51-875,Żory,ulica Jaśminowa,60
130,Stowarzyszenie Anders-Węgrzyk Sp.k.,42-412,Kluczbork,al. Cyprysowa,55
131,FPUH Klyta-Glazer S.A.,36-155,Myszków,plac Radosna,10/77
132,Janasz-Koss i syn s.c.,30-284,Nowy Sącz,al. Piekarska,97
133,PPUH Więcławek Sp.k.,57-516,Wałcz,plac Nowa,867
134,PPUH Mszyca,29-498,Płock,aleja Pałacowa,97/14
135,Stowarzyszenie Wałęsa-Fogiel i syn s.c.,73-303,Nowy Sącz,aleja Podgórna,50
136,Łabaj-Kochel Sp. z o.o. Sp.k.,24-588,Ostrów Wielkopolski,plac Lipowa,22
137,Gabinety Hajder Sp. z o.o.,57-513,Ostróda,aleja Letnia,95
138,Pędzik-Mila S.A.,21-036,Katowice,al. Grabowa,83
139,Fundacja Staśko,47-275,Konin,aleja Wierzbowa,88
140,FPUH Fabiszak,39-800,Tarnobrzeg,aleja Niepodległości,197
141,Walentynowicz-Chwedoruk S.A.,49-824,Wieluń,plac Klonowa,662
142,Spółdzielnia Wiesiołek,72-654,Zduńska Wola,aleja Tuwima,822
143,PPUH Jędra,62-367,Żyrardów,al. Żabia,155
144,Konieczek Sp.j.,26-218,Gdańsk,aleja Jastrzębia,56
145,PPUH Czak-Janasz Sp.k.,20-229,Inowrocław,al. Szymanowskiego,85/12
146,FPUH Mijas,07-963,Myszków,ulica Rumiankowa,124
147,Bugno-Majzner Sp.k.,98-843,Skawina,ul. Piekarska,26
148,Kusyk Sp. z o.o.,89-317,Bielsk Podlaski,ulica Okrzei,08
149,Spółdzielnia Wikło S.A.,50-829,Nowy Sącz,ul. Wysoka,23
150,Spółdzielnia Franas Sp.k.,60-099,Zambrów,al. Kasprowicza,180
151,Bródka-Matyjasek Sp. z o.o.,75-184,Oleśnica,ulica Nowowiejska,91
152,Grupa Galuba,52-803,Stargard Szczeciński,aleja Chabrowa,260
153,Stowarzyszenie Zaucha s.c.,99-200,Łódź,ul. Hallera,61
154,Grupa Polakiewicz-Leoniuk i syn s.c.,11-020,Iława,plac Rumiankowa,938
155,Polnik-Preś S.A.,41-728,Oleśnica,ulica Kolonia,126
156,Cyman-Sadownik Sp.j.,11-821,Dzierżoniów,ulica Korfantego,78
157,Mokwa S.A.,94-953,Nowa Ruda,ul. Krasińskiego,80/73
158,Gabinety Maciejuk,47-866,Bielsko-Biała,ul. Spacerowa,967
159,Franków Sp.j.,50-689,Oława,ulica Kazimierza,24/55
160,PPUH Romaniak-Biegała Sp.j.,16-774,Jarosław,ul. Kaliska,117
161,Gabinety Ruszel,05-218,Tomaszów Mazowiecki,al. Cisowa,95/82
162,Janic S.A.,13-190,Siedlce,aleja Bolesława,64
163,Gabinety Fitas-Macek i syn s.c.,35-142,Malbork,ul. Andersa,938
164,Mzyk-Żabierek S.A.,68-986,Świdnica,al. Grunwaldzka,08/41
165,FPUH Jędrys-Baka Sp. z o.o.,67-063,Bielsko-Biała,plac Owocowa,83/04
166,Grupa Drożdżal S.A.,41-861,Zabrze,ul. Cedrowa,48/51
167,Szpyrka s.c.,49-021,Chełm,aleja Kościuszki,47
168,Kuder-Nieroda Sp.j.,36-738,Racibórz,ulica Bydgoska,438
169,Hadaś Sp. z o.o.,41-484,Knurów,ul. Rynek,60/61
170,Kruszka-Strawa Sp.j.,91-132,Bydgoszcz,plac Kosynierów,17/67
171,Pik-Meissner i syn s.c.,09-448,Jelenia Góra,plac Pomorska,985
172,PPUH Kuciak,93-793,Gdynia,al. Nowa,202
173,Bacik-Domka s.c.,35-290,Szczecin,al. Zakątek,20/56
174,Fabiańczyk i syn s.c.,44-690,Opole,plac Olchowa,72/54
175,PPUH Opoka Sp. z o.o. Sp.k.,42-293,Wejherowo,ulica Wiatraczna,099
176,Stowarzyszenie Kolek-Szczerbiak S.A.,27-599,Opole,ulica Słowicza,887
177,Gabinety Blank-Szyca S.A.,01-767,Leszno,al. Górska,412
178,Fundacja Węgrzynek-Pachla Sp.k.,21-639,Bełchatów,aleja Śląska,80/45
179,Cis-Zacharczuk Sp.j.,08-645,Radom,aleja Gołębia,19
180,Spółdzielnia Banak S.A.,84-565,Legnica,ul. Dębowa,43/30
181,Spółdzielnia Owsiak,14-065,Iława,ulica Kilińskiego,85/00
182,Grupa Piątkiewicz Sp.k.,62-703,Zabrze,plac Gałczynskiego,183
183,Grupa Stachelek S.A.,08-561,Świnoujście,ulica Zielona,795
184,Stowarzyszenie Koziarz Sp. z o.o. Sp.k.,25-760,Śrem,plac Handlowa,67
185,Laszczyk-Andrukiewicz s.c.,19-475,Opole,plac Promienna,77/40
186,FPUH Godyń i syn s.c.,91-889,Wejherowo,ul. Wiklinowa,515
187,Jeka-Zimoń Sp. z o.o.,07-419,Białogard,al. Bukowa,13
188,Stowarzyszenie Leśna-Krysta Sp. z o.o. Sp.k.,72-480,Reda,plac Batalionów,848
189,Stawowczyk-Preuss Sp.j.,01-362,Zgorzelec,aleja Konwaliowa,653
190,Koczara Sp. z o.o. Sp.k.,62-986,Ostrowiec Świętokrzyski,aleja Glówna,76/76
191,FPUH Roj Sp. z o.o. Sp.k.,99-029,Łuków,aleja Przechodnia,98/83
192,Zadworny Sp. z o.o. Sp.k.,01-791,Kielce,plac Bociania,717
193,Bytner i syn s.c.,50-927,Jastrzębie-Zdrój,plac Jagiellońska,95
194,Spółdzielnia Chlebek-Bracha S.A.,32-356,Chojnice,plac Zakątek,28/09
195,Jałowiec s.c.,83-227,Iława,aleja Kaliska,03
196,Lelito i syn s.c.,44-105,Augustów,ulica Kraszewskiego,338
197,Bluszcz Sp.k.,36-477,Głogów,ul. Głogowa,72
198,Grupa Zbiciak-Knych Sp. z o.o.,49-885,Września,ulica Jana,998
199,Grupa Butrym Sp.k.,55-092,Brzeg,ulica Okrężna,11
200,PPUH Słobodzian,28-952,Radomsko,al. Dębowa,394
202,FPUH Sarota-Jessa Sp. z o.o.,29-856,Nowa Ruda,aleja Dojazdowa,56/50
203,Jeżyk Sp.j.,62-981,Krotoszyn,ul. Zamkowa,514
204,Kuciak-Kuster i syn s.c.,59-936,Środa Wielkopolska,plac Perłowa,386
205,PPUH Korkosz-Ludwin s.c.,81-072,Częstochowa,plac Tartaczna,68/56
206,Sochaj Sp.j.,44-480,Koszalin,ulica Kalinowa,09
207,Fundacja Byra i syn s.c.,45-201,Biłgoraj,al. Wojska,61/90
208,Łachacz Sp. z o.o.,82-687,Jarocin,plac Witosa,75
209,FPUH Podpora Sp.j.,50-387,Mława,plac Odrzańska,03/54
210,Fitas-Gotfryd s.c.,13-056,Lubliniec,aleja Głogowa,078
211,Grupa Merda,33-538,Ostrowiec Świętokrzyski,aleja Odrzańska,46
212,Wilkos-Godzwon Sp.k.,10-384,Żywiec,ul. Wyspiańskiego,79
213,Fundacja Piekart,20-624,Częstochowa,ul. Lipca,97/00
214,Fundacja Niemczuk,99-089,Zgierz,ulica Pułaskiego,96
215,Stowarzyszenie Sornat Sp. z o.o.,39-296,Krotoszyn,ulica Kochanowskiego,20
216,Grupa Joszko,26-195,Biłgoraj,plac Wrzosowa,23
217,Gabinety Jaje Sp. z o.o.,20-784,Jelenia Góra,ul. Długosza,53
218,Miętus-Dynak s.c.,97-156,Dąbrowa Górnicza,ulica Irysowa,414
219,Młyńczak Sp.j.,61-400,Łuków,al. Spółdzielcza,39/02
220,Sztuba S.A.,06-267,Lubin,al. Rynek,976
221,Siemieniec s.c.,97-405,Czeladź,ul. Moniuszki,72
222,Fundacja Pompa-Piskor Sp. z o.o. Sp.k.,80-851,Lębork,aleja Mazowiecka,726
223,Deneka-Jeszke Sp.j.,79-285,Chorzów,ulica Podwale,85/02
224,Lisoń Sp. z o.o. Sp.k.,71-198,Jaworzno,al. Browarna,45
225,PPUH Chmara,52-075,Wałcz,ul. Bursztynowa,56
226,Zeman i syn s.c.,78-344,Żory,ul. Perłowa,212
227,Gabinety Reichel S.A.,57-514,Wejherowo,al. Kolorowa,85
228,Stowarzyszenie Miszkurka,85-849,Kłodzko,al. Kaliska,20/59
229,Grupa Chomik-Talaśka s.c.,07-854,Włocławek,al. Młynarska,63
230,Grupa Hirsch,84-329,Katowice,ul. Bema,217
231,Grupa Cłapa S.A.,52-637,Reda,aleja Długa,46/78
232,Grupa Miętka Sp.j.,71-541,Żyrardów,al. Turystyczna,35
233,FPUH Deryło s.c.,35-961,Bartoszyce,al. Koralowa,12
234,Fundacja Jędrasiak-Pikula Sp.j.,17-858,Bielawa,al. Jana,880
235,Fundacja Pesta-Węgrzyniak Sp.j.,28-221,Bytom,al. Handlowa,75/32
236,Spółdzielnia Neubauer Sp. z o.o.,93-623,Tychy,al. Tylna,14/71
237,Sochaj s.c.,07-082,Szczecin,plac Powstańców,87/61
238,FPUH Morys i syn s.c.,94-195,Legionowo,al. Pałacowa,18
239,Bojarczuk-Felisiak Sp.j.,72-489,Mysłowice,ul. Borowa,44/87
240,Grupa Szymocha-Bartela Sp.j.,07-096,Ostrołęka,ul. Szczęśliwa,65
241,Chaber S.A.,41-601,Kraków,ul. Nałkowskiej,064
242,Majczyna-Żok Sp.k.,34-347,Jawor,plac Żwirki,714
243,Fundacja Fras,96-074,Dąbrowa Górnicza,al. Żytnia,66
244,Grupa Oleksa Sp.k.,81-309,Oleśnica,plac Radosna,32
245,Szoka-Pyziak i syn s.c.,57-556,Oleśnica,al. Jana,65/26
246,Spółdzielnia Monkiewicz Sp.j.,91-764,Jaworzno,ulica Złota,00/71
247,Kasica Sp.k.,76-468,Płock,plac Wybickiego,142
248,Grupa Szulczyk i syn s.c.,93-403,Ostrów Wielkopolski,ulica Słonecznikowa,049
249,Grupa Pastor,34-967,Brodnica,plac Zaułek,52
250,Gabinety Myszor-Frączkiewicz Sp.k.,20-391,Szczecin,aleja Brzozowa,118
