130,Grupa Mędrala-Ignatiuk Sp. z o.o.,70-459,Gdynia,plac Osiedlowa,69
131,Fundacja Litwinowicz Sp. z o.o.,63-706,Dąbrowa Górnicza,al. Dworska,587
132,Karkocha Sp.j.,04-037,Piastów,al. Ceglana,71/61
133,Gabinety Kraszkiewicz Sp. z o.o. Sp.k.,44-775,Cieszyn,al. Pałacowa,969
134,Spółdzielnia Kunka,91-643,Gorzów Wielkopolski,aleja Nowa,88
135,Mycek S.A.,96-307,Wołomin,ul. Tylna,89/69
136,Gabinety Machowiak,59-691,Tychy,ulica Miła,353
137,Grupa Rzeszutko-Cuch i syn s.c.,78-450,Pruszków,ulica Rynek,95/81
138,FPUH Behrendt s.c.,57-264,Lubin,al. Prusa,05/73
139,Dybaś Sp.k.,76-579,Wejherowo,aleja Wróblewskiego,71/57
140,Spółdzielnia Kalka-Wochnik i syn s.c.,90-458,Żyrardów,ulica Koralowa,48/70
141,Stowarzyszenie Doroba Sp. z o.o.,13-812,Bełchatów,al. Pocztowa,749
142,Duszkiewicz Sp.j.,61-263,Wałbrzych,aleja Stawowa,67/04
143,Grupa Szklarek,59-113,Myszków,aleja Jesionowa,35
144,Fundacja Łaskawiec Sp. z o.o.,54-852,Gdańsk,aleja Krokusowa,34/57
145,Gabinety Puch Sp. z o.o.,17-665,Oława,ul. Asnyka,01/79
146,Spółdzielnia Dziopa Sp.j.,24-328,Jelenia Góra,ulica Bolesława,97/92
147,Koronkiewicz Sp.j.,72-855,Środa Wielkopolska,aleja Skrajna,61
148,Spółdzielnia Jarosiewicz,75-730,Turek,al. Gajowa,79
149,Spółdzielnia Duc,49-181,Ostrołęka,ul. Młyńska,035
150,Para i syn s.c.,21-496,Tychy,plac Szymanowskiego,225
151,Kielczyk Sp.j.,27-368,Gorzów Wielkopolski,ulica Kolonia,708
152,Wota-Dobrosz Sp. z o.o.,03-466,Szczytno,aleja Mała,16
153,Tłuczek-Bacia Sp.k.,17-205,Jasło,al. Jana,193
154,Stowarzyszenie Mila,30-964,Wołomin,aleja Korfantego,471
155,Stowarzyszenie Fąferek,41-420,Nowy Sącz,ul. Kasprowicza,13
156,Kliszcz-Chadaj Sp. z o.o.,82-795,Zgorzelec,plac Sokola,55/65
157,Piechna-Patalas Sp.j.,38-721,Augustów,ulica Jodłowa,592
158,Bogaczyk-Kwapisiewicz S.A.,06-208,Tomaszów Mazowiecki,plac Młynarska,61
159,Sznura-Bereda i syn s.c.,08-994,Kutno,aleja Jeżynowa,20
160,PPUH Grund,63-468,Kielce,al. Podleśna,78
161,Spółdzielnia Kubasiak-Druszcz s.c.,75-159,Nowa Ruda,plac Kraszewskiego,76
162,PPUH Dydak,33-609,Reda,aleja Sybiraków,38/07
163,Grupa Mosiołek-Oleksa Sp. z o.o. Sp.k.,92-797,Polkowice,plac Szarych,643
164,Dziadkiewicz Sp. z o.o. Sp.k.,67-776,Stargard Szczeciński,ul. Kochanowskiego,36/38
165,Trzop Sp. z o.o. Sp.k.,59-080,Toruń,aleja Korczaka,123
166,Gabinety Giel,48-765,Nowy Sącz,aleja Kossaka,48
167,Prokopczuk-Zackiewicz s.c.,27-444,Konin,aleja Jagodowa,93
168,Fundacja Stasica-Dzwonnik Sp.k.,73-186,Pruszków,ulica Spacerowa,11
169,Gabinety Pniak s.c.,80-280,Kielce,aleja Lipca,24
170,Spółdzielnia Fal,78-863,Lubliniec,al. Wesoła,080
171,Fundacja Wudarczyk-Irzyk S.A.,71-734,Pruszcz Gdański,plac Ludowa,56/72
172,Mały s.c.,92-238,Iława,ulica Młyńska,325
173,Gabinety Pyza,85-526,Środa Wielkopolska,ul. Wesoła,043
174,Gabinety Palonek-Kusztal Sp. z o.o.,97-931,Sochaczew,ul. Zamkowa,72/32
175,Grupa Szczap-Pompa Sp. z o.o. Sp.k.,50-074,Tarnowskie Góry,ul. Kusocińskiego,02
176,Grupa Irla Sp. z o.o.,23-377,Tczew,ul. Żurawia,39/60
177,Fundacja Szalast,46-570,Elbląg,aleja Narutowicza,80/88
178,Stowarzyszenie Zapiór Sp. z o.o. Sp.k.,42-150,Sieradz,al. Sokola,73/95
179,FPUH Ciepłuch,48-176,Oleśnica,aleja Glówna,156
180,Wiesiołek-Szulczyk S.A.,01-184,Jarocin,ulica Narcyzowa,801
181,PPUH Kosela Sp.j.,86-825,Żywiec,ul. Wyzwolenia,94
182,Burczak s.c.,59-966,Żyrardów,ulica Gołębia,81
183,Gabinety Szajna i syn s.c.,58-019,Puławy,plac Piekarska,99
184,Szałata-Kwarciak Sp.k.,56-643,Ostrołęka,aleja Środkowa,72/78
185,Freitag-Hawrylak Sp.j.,55-836,Luboń,plac Kielecka,85
186,PPUH Kubasiak Sp.k.,50-365,Ostrowiec Świętokrzyski,plac Partyzantów,88/32
187,Fiutak Sp. z o.o.,78-242,Jelenia Góra,al. Stroma,12
188,Gajdzik-Piegza Sp. z o.o.,40-089,Nowy Targ,al. Jagodowa,18
189,Grupa Hawrylak-Roczniak Sp.k.,17-172,Augustów,al. Bolesława,044
190,Fundacja Trojanowicz Sp. z o.o. Sp.k.,04-436,Wodzisław Śląski,ulica Srebrna,181
191,Grupa Figat-Gasz Sp. z o.o. Sp.k.,08-857,Stargard Szczeciński,aleja Zdrojowa,60/97
192,FPUH Klejna Sp. z o.o. Sp.k.,07-244,Skierniewice,plac Jana,18
193,Grupa Pazik-Domżał Sp. z o.o.,97-138,Jasło,ul. Plater,03/44
194,Stowarzyszenie Thiel Sp. z o.o.,39-064,Wągrowiec,plac Górnicza,15
195,Burza-Władyka Sp. z o.o. Sp.k.,97-851,Gdynia,ulica Lisia,52/52
196,Spółdzielnia Mesjasz,19-796,Szczecin,ulica Pałacowa,302
197,FPUH Kolka,22-276,Piastów,ul. Korfantego,32
198,Michalkiewicz-Bona s.c.,67-577,Ełk,ul. Ciasna,72
199,Dziarmaga Sp.k.,35-054,Rumia,plac Willowa,44/65
200,Radziewicz-Rejniak Sp. z o.o.,22-951,Wieluń,ul. Gajowa,764
